token,mean_shap,count
"after, ",1.1481638801725286e-05,1
positive ,9.560957551002502e-06,1
than ,9.25455242395401e-06,1
concerned. ,8.045695722103119e-06,1
3 ,6.6231004893779755e-06,2
studies ,4.752539098262787e-06,1
read ,4.752539098262787e-06,1
started,4.3977051973342896e-06,1
purpose ,4.0745362639427185e-06,1
doing ,3.842636942863464e-06,1
constant ,3.754161298274994e-06,1
having ,3.6349520087242126e-06,1
20% ,3.3701459566752114e-06,1
test ,2.965486298004786e-06,2
"later, ",2.916281421979268e-06,1
still,2.916281421979268e-06,1
times ,2.5300042969839912e-06,1
test. ,1.9622966647148132e-06,1
following ,1.8756836652755737e-06,1
patients ,1.4940897623697919e-06,1
saw,1.4940897623697917e-06,1
trial ,1.4940897623697917e-06,1
returning ,1.2084841728210448e-06,1
itchiness ,1.2084841728210448e-06,1
thing ,1.1920928955078125e-06,1
month ,9.80475710497962e-07,3
also,6.574250402904692e-07,1
day. ,6.189303738730294e-07,1
postpregnancy ,0.0,1
first,0.0,1
bleed ,0.0,1
light ,0.0,1
changed ,0.0,1
straight,0.0,1
okay ,0.0,1
pregnant ,0.0,1
effective ,0.0,1
old ,0.0,1
half ,0.0,1
valtrex ,0.0,1
experience ,0.0,1
7 ,0.0,1
checkup ,0.0,1
